sample	date	File Name	Genotype	Genotype List Used, >=98.0%	Genotype Sample Title List	Genotype Percent Match List	Genotype Mismatch List	Genotype Average Depth of Coverage List
SRR24839508	2025-05-09_10-45-55	SRR24839508.fa	A1	NS:ea1, PA:ea1, PB2:ea1, NP:ea1, HA:ea1, MP:ea1, PB1:ea1, NA:ea1	ea1:22-003707-003:NS, ea1:22-003707-003:PA, ea1:22-003707-003:PB2, ea1:22-003707-003:NP, ea1:22-003707-003:HA, ea1:22-003707-003:MP, ea1:22-003707-003:PB1, ea1:22-003707-003:NA	99.76%, 99.49%, 99.66%, 99.87%, 99.59%, 99.59%, 99.78%, 99.79%	2, 11, 5, 2, 7, 4, 5, 3	Ran on FASTA - No Coverage Report
SRR28834953	2025-05-09_10-46-58	SRR28834953.fa	B3.6	PB1:am4, NA:ea1, PB2:am5, HA:ea1, PA:ea1, MP:ea1, NS:am1.1, NP:am1.4.1	am4:23-001855-001:PB1, ea1:22-003707-003:NA, am5:23-001855-001:PB2, ea1:22-003707-003:HA, ea1:22-003707-003:PA, ea1:22-003707-003:MP, am1.1:22-010085-001:NS, am1.4.1:22-009329-001:NP	99.47%, 98.94%, 99.47%, 98.89%, 99.16%, 98.98%, 98.93%, 99.47%	12, 15, 12, 19, 18, 10, 9, 8	Ran on FASTA - No Coverage Report
SRR32633076	2025-05-09_10-52-05	SRR32633076.fa	B3.13	NP:am8, PB1:am4, NA:ea1, PB2:am2.2, PA:ea1, HA:ea1, NS:am1.1, MP:ea1	am8:23-032005-001:NP, am4:23-001855-001:PB1, ea1:22-003707-003:NA, am2.2:22-010445-001:PB2, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.1:22-010085-001:NS, ea1:22-003707-003:MP	98.80%, 99.47%, 98.94%, 98.55%, 99.02%, 98.59%, 98.93%, 98.88%	18, 12, 15, 33, 21, 24, 9, 11	Ran on FASTA - No Coverage Report
SRR31605031	2025-05-09_10-47-52	SRR31605031.fa	B3.13	PB2:am2.2, NP:am8, NS:am1.1, PA:ea1, HA:ea1, MP:ea1, NA:ea1, PB1:am4	am2.2:22-010445-001:PB2, am8:23-032005-001:NP, am1.1:22-010085-001:NS, ea1:22-003707-003:PA, ea1:22-003707-003:HA, ea1:22-003707-003:MP, ea1:22-003707-003:NA, am4:23-001855-001:PB1	98.64%, 99.06%, 98.93%, 99.02%, 98.47%, 98.98%, 98.94%, 99.43%	31, 14, 9, 21, 26, 10, 15, 13	Ran on FASTA - No Coverage Report
SRR31254286	2025-05-09_10-49-28	SRR31254286.fa	B3.13	NP:am8, MP:ea1, HA:ea1, PB1:am4, PB2:am2.2, PA:ea1, NS:am1.1, NA:ea1	am8:23-032005-001:NP, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am4:23-001855-001:PB1, am2.2:22-010445-001:PB2, ea1:22-003707-003:PA, am1.1:22-010085-001:NS, ea1:22-003707-003:NA	99.06%, 98.98%, 98.53%, 99.47%, 98.60%, 99.07%, 99.05%, 98.79%	14, 10, 25, 12, 32, 20, 8, 17	Ran on FASTA - No Coverage Report
SRR31347811	2025-05-09_10-47-20	SRR31347811.fa	B3.13	HA:ea1, PB2:am2.2, NA:ea1, NP:am8, PA:ea1, PB1:am4, NS:am1.1, MP:ea1	ea1:22-003707-003:HA, am2.2:22-010445-001:PB2, ea1:22-003707-003:NA, am8:23-032005-001:NP, ea1:22-003707-003:PA, am4:23-001855-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP	98.47%, 98.73%, 98.79%, 99.00%, 99.07%, 99.43%, 98.93%, 98.98%	26, 29, 17, 15, 20, 13, 9, 10	Ran on FASTA - No Coverage Report
SRR30789569	2025-05-09_10-49-09	SRR30789569.fa	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PA:ea1, PB1:am4, NS:am1.1, NA:ea1, PB2:am27, NP:am8, MP:ea1	ea1:22-003707-003:HA, ea1:22-003707-003:PA, am4:23-001855-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, am27:24-037288-001:PB2, am8:23-032005-001:NP, ea1:22-003707-003:MP	96.58%, 98.73%, 99.22%, 98.76%, 99.18%, 98.37%, 99.70%, 98.81%	4, 27, 9, 8, 8, 14, 1, 11	Ran on FASTA - No Coverage Report
SRR32868661	2025-05-09_10-52-24	SRR32868661.fa	B3.13	NS:am1.1, NP:am8, PB2:am2.2, MP:ea1, PB1:am4, PA:ea1, NA:ea1, HA:ea1	am1.1:22-010085-001:NS, am8:23-032005-001:NP, am2.2:22-010445-001:PB2, ea1:22-003707-003:MP, am4:23-001855-001:PB1, ea1:22-003707-003:PA, ea1:22-003707-003:NA, ea1:22-003707-003:HA	99.17%, 99.06%, 98.55%, 98.98%, 99.52%, 99.02%, 98.65%, 98.59%	7, 14, 33, 10, 11, 21, 19, 24	Ran on FASTA - No Coverage Report
SRR31596945	2025-05-09_10-45-55	SRR31596945.fa	B3.13	HA:ea1, NA:ea1, PA:ea1, MP:ea1, NS:am1.1, NP:am8, PB2:am2.2, PB1:am4	ea1:22-003707-003:HA, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:MP, am1.1:22-010085-001:NS, am8:23-032005-001:NP, am2.2:22-010445-001:PB2, am4:23-001855-001:PB1	98.42%, 98.94%, 98.93%, 98.98%, 99.17%, 99.00%, 98.68%, 99.43%	27, 15, 23, 10, 7, 15, 30, 13	Ran on FASTA - No Coverage Report
SRR32006903	2025-05-09_10-47-38	SRR32006903.fa	D1.1	MP:ea3, PA:am4, NS:ea3, HA:ea3, NA:am4N1, PB1:ea3, PB2:am24, NP:am13	ea3:22-013001-001:MP, am4:24-030039-001:PA, ea3:22-013001-001:NS, ea3:22-013001-001:HA, am4N1:24-030039-001:NA, ea3:22-013001-001:PB1, am24:24-030039-001:PB2, am13:24-030039-001:NP	99.90%, 99.72%, 99.17%, 99.47%, 99.33%, 99.25%, 99.83%, 99.80%	1, 6, 7, 9, 7, 17, 4, 3	Ran on FASTA - No Coverage Report
SRR31347748	2025-05-09_10-49-42	SRR31347748.fa	B3.13	NA:ea1, HA:ea1, NP:am8, PB1:am4, PB2:am2.2, NS:am1.1, PA:ea1, MP:ea1	ea1:22-003707-003:NA, ea1:22-003707-003:HA, am8:23-032005-001:NP, am4:23-001855-001:PB1, am2.2:22-010445-001:PB2, am1.1:22-010085-001:NS, ea1:22-003707-003:PA, ea1:22-003707-003:MP	98.94%, 98.42%, 99.06%, 99.43%, 98.68%, 99.05%, 99.02%, 98.98%	15, 27, 14, 13, 30, 8, 21, 10	Ran on FASTA - No Coverage Report
SRR30811328	2025-05-09_10-49-12	SRR30811328.fa	B3.13	MP:ea1, PB2:am2.2, PA:ea1, HA:ea1, NP:am8, NA:ea1, NS:am1.1, PB1:am4	ea1:22-003707-003:MP, am2.2:22-010445-001:PB2, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am8:23-032005-001:NP, ea1:22-003707-003:NA, am1.1:22-010085-001:NS, am4:23-001855-001:PB1	98.88%, 98.60%, 99.12%, 98.59%, 99.33%, 99.08%, 98.81%, 99.52%	11, 32, 19, 24, 10, 13, 10, 11	Ran on FASTA - No Coverage Report
SRR32223151	2025-05-09_10-47-00	SRR32223151.fa	B3.13	PA:ea1, NS:am1.1, HA:ea1, PB2:am2.2, NA:ea1, MP:ea1, PB1:am4, NP:am8	ea1:22-003707-003:PA, am1.1:22-010085-001:NS, ea1:22-003707-003:HA, am2.2:22-010445-001:PB2, ea1:22-003707-003:NA, ea1:22-003707-003:MP, am4:23-001855-001:PB1, am8:23-032005-001:NP	98.70%, 99.17%, 98.36%, 98.68%, 98.79%, 98.98%, 99.43%, 98.93%	28, 7, 28, 30, 17, 10, 13, 16	Ran on FASTA - No Coverage Report
SRR32512889	2025-05-09_10-51-39	SRR32512889.fa	D1.3	PB2:am24, PB1:ea3, NS:ea3, NP:am13, HA:ea3, PA:am4, MP:ea3, NA:ea3	am24:24-030039-001:PB2, ea3:22-013001-001:PB1, ea3:22-013001-001:NS, am13:24-030039-001:NP, ea3:22-013001-001:HA, am4:24-030039-001:PA, ea3:22-013001-001:MP, ea3:22-013001-001:NA	99.56%, 98.06%, 98.69%, 99.60%, 99.41%, 99.44%, 99.80%, 98.72%	10, 44, 11, 6, 10, 12, 2, 18	Ran on FASTA - No Coverage Report
SRR28834911	2025-05-09_10-47-30	SRR28834911.fa	B3.6	PB2:am5, NP:am1.4.1, PA:ea1, HA:ea1, MP:ea1, NS:am1.1, PB1:am4, NA:ea1	am5:23-001855-001:PB2, am1.4.1:22-009329-001:NP, ea1:22-003707-003:PA, ea1:22-003707-003:HA, ea1:22-003707-003:MP, am1.1:22-010085-001:NS, am4:23-001855-001:PB1, ea1:22-003707-003:NA	99.47%, 99.47%, 99.26%, 98.83%, 98.88%, 99.28%, 99.43%, 98.94%	12, 8, 16, 20, 11, 6, 13, 15	Ran on FASTA - No Coverage Report
SRR24839385	2025-05-09_10-45-39	SRR24839385.fa	B1.1	MP:ea1, PB2:am1.1, NP:am1.2, PA:ea1, PB1:am1.1, HA:ea1, NA:ea1, NS:ea1	ea1:22-003707-003:MP, am1.1:22-009287-001:PB2, am1.2:22-009287-001:NP, ea1:22-003707-003:PA, am1.1:22-009287-001:PB1, ea1:22-003707-003:HA, ea1:22-003707-003:NA, ea1:22-003707-003:NS	99.90%, 99.96%, 99.93%, 99.72%, 99.87%, 99.77%, 99.93%, 99.88%	1, 1, 1, 6, 3, 4, 1, 1	Ran on FASTA - No Coverage Report
SRR31347623	2025-05-09_10-49-03	SRR31347623.fa	D1.1	MP:ea3, PB2:am24, HA:ea3, NP:am13, PB1:ea3, NA:am4N1, NS:ea3, PA:am4	ea3:22-013001-001:MP, am24:24-030039-001:PB2, ea3:22-013001-001:HA, am13:24-030039-001:NP, ea3:22-013001-001:PB1, am4N1:24-030039-001:NA, ea3:22-013001-001:NS, am4:24-030039-001:PA	99.90%, 99.96%, 99.59%, 99.87%, 99.43%, 99.52%, 99.28%, 99.94%	1, 1, 7, 2, 13, 5, 6, 1	Ran on FASTA - No Coverage Report
SRR29740498	2025-05-09_10-45-17	SRR29740498.fa	C2.1	HA:ea2, PB2:am19, NA:ea2, MP:ea1, PB1:am20, NP:ea1, PA:am3, NS:ea1	ea2:23-030074-013:HA, am19:23-036193-005:PB2, ea2:23-004612-024:NA, ea1:22-003707-003:MP, am20:23-036657-001:PB1, ea1:22-003707-003:NP, am3:23-036657-001:PA, ea1:22-003707-003:NS	99.82%, 99.78%, 99.15%, 99.39%, 99.47%, 99.35%, 99.63%, 98.81%	3, 5, 12, 6, 12, 8, 8, 10	Ran on FASTA - No Coverage Report
SRR32973801	2025-05-09_10-52-29	SRR32973801.fa	D1.1	HA:ea3, NA:am4N1, NP:am13, PA:am4, PB1:ea3, PB2:am24, MP:ea3, NS:ea3	ea3:22-013001-001:HA, am4N1:24-030039-001:NA, am13:24-030039-001:NP, am4:24-030039-001:PA, ea3:22-013001-001:PB1, am24:24-030039-001:PB2, ea3:22-013001-001:MP, ea3:22-013001-001:NS	99.35%, 99.11%, 99.53%, 99.53%, 99.34%, 99.69%, 99.69%, 99.05%	11, 10, 7, 10, 15, 7, 3, 8	Ran on FASTA - No Coverage Report
SRR32415255	2025-05-09_10-51-25	SRR32415255.fa	B3.13	NA:ea1, NP:am8, PB1:am4, NS:am1.1, PA:ea1, PB2:am2.2, HA:ea1, MP:ea1	ea1:22-003707-003:NA, am8:23-032005-001:NP, am4:23-001855-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:PA, am2.2:22-010445-001:PB2, ea1:22-003707-003:HA, ea1:22-003707-003:MP	98.94%, 99.00%, 99.47%, 99.17%, 99.02%, 98.64%, 98.47%, 98.98%	15, 15, 12, 7, 21, 31, 26, 10	Ran on FASTA - No Coverage Report
SRR24839612	2025-05-09_10-46-05	SRR24839612.fa	B1.1	NA:ea1, HA:ea1, NP:am1.2, PB2:am1.1, NS:ea1, PB1:am1.1, PA:ea1, MP:ea1	ea1:22-003707-003:NA, ea1:22-003707-003:HA, am1.2:22-009287-001:NP, am1.1:22-009287-001:PB2, ea1:22-003707-003:NS, am1.1:22-009287-001:PB1, ea1:22-003707-003:PA, ea1:22-003707-003:MP	99.86%, 99.71%, 99.87%, 99.74%, 99.76%, 99.82%, 99.77%, 99.90%	2, 5, 2, 6, 2, 4, 5, 1	Ran on FASTA - No Coverage Report
SRR24839369	2025-05-09_10-45-05	SRR24839369.fa	B1.1	NA:ea1, PA:ea1, PB1:am1.1, PB2:am1.1, MP:ea1, NS:ea1, HA:ea1, NP:am1.2	ea1:22-003707-003:NA, ea1:22-003707-003:PA, am1.1:22-009287-001:PB1, am1.1:22-009287-001:PB2, ea1:22-003707-003:MP, ea1:22-003707-003:NS, ea1:22-003707-003:HA, am1.2:22-009287-001:NP	99.79%, 99.81%, 99.87%, 99.87%, 99.90%, 99.76%, 99.77%, 99.87%	3, 4, 3, 3, 1, 2, 4, 2	Ran on FASTA - No Coverage Report
SRR32973878	2025-05-09_10-45-34	SRR32973878.fa	B3.13	PB1:am4, NP:am8, HA:ea1, MP:ea1, NA:ea1, PA:ea1, NS:am1.1, PB2:am2.2	am4:23-001855-001:PB1, am8:23-032005-001:NP, ea1:22-003707-003:HA, ea1:22-003707-003:MP, ea1:22-003707-003:NA, ea1:22-003707-003:PA, am1.1:22-010085-001:NS, am2.2:22-010445-001:PB2	99.34%, 98.93%, 98.47%, 98.78%, 98.72%, 98.79%, 98.93%, 98.42%	15, 16, 26, 12, 18, 26, 9, 36	Ran on FASTA - No Coverage Report
SRR28981011	2025-05-09_10-47-41	SRR28981011.fa	B3.13	HA:ea1, NS:am1.1, PA:ea1, NP:am8, MP:ea1, PB2:am2.2, NA:ea1, PB1:am4	ea1:22-003707-003:HA, am1.1:22-010085-001:NS, ea1:22-003707-003:PA, am8:23-032005-001:NP, ea1:22-003707-003:MP, am2.2:22-010445-001:PB2, ea1:22-003707-003:NA, am4:23-001855-001:PB1	98.77%, 99.28%, 99.12%, 99.20%, 98.88%, 98.82%, 99.01%, 99.56%	21, 6, 19, 12, 11, 27, 14, 10	Ran on FASTA - No Coverage Report
SRR31821090	2025-05-09_10-50-38	SRR31821090.fa	B3.13	NS:am1.1, PB1:am4, HA:ea1, NA:ea1, PA:ea1, NP:am8, PB2:am2.2, MP:ea1	am1.1:22-010085-001:NS, am4:23-001855-001:PB1, ea1:22-003707-003:HA, ea1:22-003707-003:NA, ea1:22-003707-003:PA, am8:23-032005-001:NP, am2.2:22-010445-001:PB2, ea1:22-003707-003:MP	99.17%, 99.47%, 98.36%, 98.86%, 99.02%, 99.06%, 98.51%, 98.88%	7, 12, 28, 16, 21, 14, 34, 11	Ran on FASTA - No Coverage Report
SRR32804403	2025-05-09_10-52-16	SRR32804403.fa	D1.3	PA:am4, MP:ea3, PB2:am24, NS:ea3, NA:ea3, NP:am13, PB1:ea3, HA:ea3	am4:24-030039-001:PA, ea3:22-013001-001:MP, am24:24-030039-001:PB2, ea3:22-013001-001:NS, ea3:22-013001-001:NA, am13:24-030039-001:NP, ea3:22-013001-001:PB1, ea3:22-013001-001:HA	99.49%, 99.80%, 99.52%, 98.81%, 98.51%, 99.40%, 99.39%, 99.47%	9, 2, 11, 10, 21, 9, 11, 9	Ran on FASTA - No Coverage Report
SRR32416328	2025-05-09_10-51-48	SRR32416328.fa	D1.1	PA:am4, PB1:ea3, NA:am4N1, NP:am13, MP:ea3, NS:ea3, HA:ea3, PB2:am24	am4:24-030039-001:PA, ea3:22-013001-001:PB1, am4N1:24-030039-001:NA, am13:24-030039-001:NP, ea3:22-013001-001:MP, ea3:22-013001-001:NS, ea3:22-013001-001:HA, am24:24-030039-001:PB2	99.49%, 99.21%, 99.20%, 99.93%, 99.90%, 99.05%, 99.47%, 99.65%	11, 18, 9, 1, 1, 8, 9, 8	Ran on FASTA - No Coverage Report
SRR31347760	2025-05-09_10-49-14	SRR31347760.fa	B3.13	HA:ea1, PB1:am4, PA:ea1, NS:am1.1, NA:ea1, MP:ea1, NP:am8, PB2:am2.2	ea1:22-003707-003:HA, am4:23-001855-001:PB1, ea1:22-003707-003:PA, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:MP, am8:23-032005-001:NP, am2.2:22-010445-001:PB2	98.47%, 99.47%, 98.93%, 99.05%, 98.94%, 98.88%, 99.00%, 98.64%	26, 12, 23, 8, 15, 11, 15, 31	Ran on FASTA - No Coverage Report
SRR28834887	2025-05-09_10-45-53	SRR28834887.fa	Not assigned: No Matching Genotypes	PB1:am4, NP:am8, NS:am1.1, NA:ea1, PA:ea1, HA:ea2, MP:ea1, PB2:am2.2	am4:23-001855-001:PB1, am8:23-032005-001:NP, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea2:22-008064-001:HA, ea1:22-003707-003:MP, am2.2:22-010445-001:PB2	99.55%, 99.33%, 99.17%, 99.08%, 99.35%, 99.39%, 98.88%, 99.19%	4, 10, 7, 13, 3, 4, 11, 3	Ran on FASTA - No Coverage Report
SRR32223106	2025-05-09_10-51-23	SRR32223106.fa	B3.13	HA:ea1, NS:am1.1, PB1:am4, NP:am8, MP:ea1, PA:ea1, PB2:am2.2, NA:ea1	ea1:22-003707-003:HA, am1.1:22-010085-001:NS, am4:23-001855-001:PB1, am8:23-032005-001:NP, ea1:22-003707-003:MP, ea1:22-003707-003:PA, am2.2:22-010445-001:PB2, ea1:22-003707-003:NA	98.36%, 99.17%, 99.52%, 98.93%, 98.98%, 98.88%, 98.73%, 98.79%	28, 7, 11, 16, 10, 24, 29, 17	Ran on FASTA - No Coverage Report
SRR31914630	2025-05-09_10-50-01	SRR31914630.fa	B3.13	PA:ea1, PB2:am2.2, HA:ea1, NS:am1.1, NA:ea1, NP:am8, PB1:am4, MP:ea1	ea1:22-003707-003:PA, am2.2:22-010445-001:PB2, ea1:22-003707-003:HA, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, am8:23-032005-001:NP, am4:23-001855-001:PB1, ea1:22-003707-003:MP	98.88%, 98.73%, 98.41%, 99.17%, 98.94%, 99.00%, 99.38%, 98.98%	24, 29, 27, 7, 15, 15, 14, 10	Ran on FASTA - No Coverage Report
SRR29543349	2025-05-09_10-45-25	SRR29543349.fa	B3.13	MP:ea1, PB2:am2.2, HA:ea1, NA:ea1, PA:ea1, NP:am8, PB1:am4, NS:am1.1	ea1:22-003707-003:MP, am2.2:22-010445-001:PB2, ea1:22-003707-003:HA, ea1:22-003707-003:NA, ea1:22-003707-003:PA, am8:23-032005-001:NP, am4:23-001855-001:PB1, am1.1:22-010085-001:NS	98.88%, 98.77%, 98.71%, 99.01%, 99.21%, 99.20%, 99.52%, 99.28%	11, 28, 22, 14, 17, 12, 11, 6	Ran on FASTA - No Coverage Report
SRR29182442	2025-04-08_14-56-36	SRR29182442.fa	B3.13	PB2:am2.2, PB1:am4, PA:ea1, HA:ea1, NP:am8, NA:ea1, MP:ea1, NS:am1.1	am2.2:22-010445-001:PB2, am4:23-001855-001:PB1, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am8:23-032005-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:MP, am1.1:22-010085-001:NS	98.82%, 99.47%, 99.12%, 98.65%, 99.40%, 99.01%, 98.78%, 99.28%	27, 12, 19, 23, 9, 14, 12, 6	Ran on FASTA - No Coverage Report
SRR30789570	2025-05-09_10-48-46	SRR30789570.fa	Not assigned: Only 6 segments >98.0% match found of total 8 segments in input file	NP:am8, HA:ea1, NA:ea2, PB2:am2.2, NS:am1.4, PA:ea1	am8:23-032005-001:NP, ea1:22-003707-003:HA, ea2:23-004612-024:NA, am4:23-001855-001:PB1, am2.2:22-010445-001:PB2, am1.4:22-031266-001:NS, ea1:22-003707-003:PA, ea1:22-003707-003:MP	100.00%, 98.97%, 99.59%, 95.57%, 98.36%, 100.00%, 98.71%, 97.90%	0, 2, 1, 21, 5, 0, 5, 7	Ran on FASTA - No Coverage Report
SRR32006880	2025-05-09_10-50-52	SRR32006880.fa	D1.1	NP:am13, HA:ea3, NA:am4N1, PA:am4, MP:ea3, NS:ea3, PB1:ea3, PB2:am24	am13:24-030039-001:NP, ea3:22-013001-001:HA, am4N1:24-030039-001:NA, am4:24-030039-001:PA, ea3:22-013001-001:MP, ea3:22-013001-001:NS, ea3:22-013001-001:PB1, am24:24-030039-001:PB2	99.80%, 99.30%, 99.14%, 99.58%, 99.80%, 99.17%, 99.12%, 99.74%	3, 12, 9, 9, 2, 7, 20, 6	Ran on FASTA - No Coverage Report
SRR32973890	2025-05-09_10-52-32	SRR32973890.fa	B3.13	PB2:am2.2, NP:am8, PA:ea1, PB1:am4, MP:ea1, NS:am1.1, HA:ea1, NA:ea1	am2.2:22-010445-001:PB2, am8:23-032005-001:NP, ea1:22-003707-003:PA, am4:23-001855-001:PB1, ea1:22-003707-003:MP, am1.1:22-010085-001:NS, ea1:22-003707-003:HA, ea1:22-003707-003:NA	98.60%, 99.00%, 99.07%, 99.52%, 98.88%, 99.05%, 98.59%, 98.86%	32, 15, 20, 11, 11, 8, 24, 16	Ran on FASTA - No Coverage Report
SRR31347734	2025-05-09_10-49-42	SRR31347734.fa	B3.13	PB2:am2.2, HA:ea1, NA:ea1, PB1:am4, MP:ea1, NS:am1.1, NP:am8, PA:ea1	am2.2:22-010445-001:PB2, ea1:22-003707-003:HA, ea1:22-003707-003:NA, am4:23-001855-001:PB1, ea1:22-003707-003:MP, am1.1:22-010085-001:NS, am8:23-032005-001:NP, ea1:22-003707-003:PA	98.64%, 98.47%, 98.72%, 99.38%, 98.98%, 98.93%, 99.00%, 99.07%	31, 26, 18, 14, 10, 9, 15, 20	Ran on FASTA - No Coverage Report
